id,nom,latitude,longitude,departement
39110,Lemuy,46.889451599,5.982617343,39
39300,Lent,46.75111933,5.976163891,39
39250,Longcochon,46.770954536,6.075184305,39
39380,La Loye,47.030432038,5.552809277,39
39270,Marnezia,46.575761446,5.636094441,39
39600,Mesnay,46.900018759,5.818250676,39
39250,Mignovillard,46.77774079,6.140716692,39
39250,Mignovillard,46.77774079,6.140716692,39
39800,Molain,46.825383647,5.816773193,39
39500,Molay,47.015340653,5.423234616,39
39230,Monay,46.83829832,5.5952518520000005,39
39100,Monnieres,47.114115559,5.460997029,39
39800,Montholier,46.894594959,5.639042641,39
39600,Montigny Les Arsures,46.937006746,5.776683918,39
39300,Montigny Sur L Ain,46.705139659,5.791865625,39
39290,Montmirey La Ville,47.217230686,5.51656716,39
39290,Montmirey Le Chateau,47.229925885,5.533745481,39
39300,Montrond,46.786828301,5.843837081,39
39400,Morbier,46.557287203,6.016436172,39
39250,Mournans Charbonny,46.776692106,5.9905407870000005,39
39310,Les Moussieres,46.326880758,5.872391483,39
39300,Moutoux,46.790797471,5.943902595,39
39160,Les Trois Chateaux,46.419552874,5.35630085,39
39270,Nancuise,46.473943072,5.529454815,39
39300,Les Nans,46.79445617,5.973982908,39
39380,Nevy Les Dole,47.002726559,5.51581086,39
39210,Nevy Sur Seille,46.735070332,5.644726458,39
39290,Offlanges,47.203818512,5.560676356,39
39270,Onoz,46.448708512,5.663245225,39
39270,Orgelet,46.519453561,5.598867642,39
39350,Pagney,47.249741201,5.699474911,39
39230,Passenans,46.804080834,5.623869417,39
39120,Peseux,46.993310722,5.366668785,39
39800,Picarreau,46.754640248,5.756814531,39
39800,Plasne,46.794313254,5.690542388,39
39570,Poids De Fiole,46.594688625,5.622458481,39
39800,Poligny,46.818861886,5.773947475,39
39300,Pont Du Navoy,46.731661169,5.789236418,39
39120,Rahon,46.993964981,5.4744054680000005,39
39190,Rotalier,46.583165602,5.476647948,39
39270,Rothonay,46.515275321,5.527285899,39
39350,Rouffange,47.22663237,5.708697328,39
39220,Les Rousses,46.498235856,6.06968778,39
39400,Les Rousses,46.498235856,6.06968778,39
39190,Ste Agnes,46.614706582,5.474621246,39
39200,St Claude,46.408714547,5.875920618,39
39600,St Cyr Montmalin,46.958784809,5.722490744,39
39570,St Didier,46.708595427,5.511372071,39
39320,Val Suran,46.386313329,5.443105612,39
39320,Val Suran,46.386313329,5.443105612,39
39170,Coteaux Du Lizon,46.412246961,5.798719091,39
39570,St Maur,46.606897999,5.595990619,39
39130,St Maurice Crillat,46.568096837,5.834026935,39
39700,Salans,47.160113967,5.794392815,39
39380,Santans,47.042099833,5.665477502,39
39270,Sarrogna,46.474500649,5.617408824,39
39130,Songeson,46.647137037,5.830542779,39
39130,Soucia,46.540172646,5.757784209,39
39380,Souvans,46.97920539,5.553672934,39
39120,Tassenieres,46.923022059,5.512541577,39
39270,La Tour Du Meix,46.523696813,5.662745455,39
39570,Trenal,46.636413188,5.4624955790000005,39
39570,Verges,46.658826692,5.684090724,39
39800,Villerserine,46.855455889,5.639683999,39
39600,Villette Les Arbois,46.933518721,5.743829779,39
39230,Le Villey,46.848011647,5.507972027,39
39190,Val Sonnette,46.602897042,5.464680776,39
39190,Val Sonnette,46.602897042,5.464680776,39
39230,Vincent Froideville,46.79367224,5.482371739,39
39240,Vosbles Valfin,46.348400035,5.52189486,39
58270,Anlezy,46.966560312,3.498985277,58
58800,Anthien,47.308662574,3.724871048,58
58430,Arleuf,47.040464565,4.015692994,58
58420,Asnan,47.310372331,3.5523411510000003,58
58110,Aunay En Bazois,47.124134471,3.719630112,58
58110,Biches,46.993703901,3.654343187,58
58270,Billy Chevannes,47.011971519,3.461879934,58
58120,Blismes,47.122483237,3.82148616,58
58530,Breves,47.429737821,3.624267859,58
58000,Challuy,46.94196697,3.140253373,58
58700,Champlin,47.244720142,3.45042992,58
58300,Champvert,46.853200997,3.523436401,58
58800,Chaumot,47.251871128,3.643272447,58
58350,Colmery,47.348513898,3.246722321,58
58800,Corbigny,47.256108779,3.689402188,58
58300,Cossaye,46.75584565,3.5098283500000003,58
58190,Dirol,47.31839342,3.643605188,58
58120,Dommartin,47.071580028,3.845762646,58
58140,Empury,47.347358725,3.822286786,58
58800,Epiry,47.17048431,3.731841261,58
58600,Garchizy,47.043647776,3.09366001,58
58300,Lamenay Sur Loire,46.74622068,3.572315444,58
58140,Lormes,47.289145913,3.825318823,58
58380,Lucenay Les Aix,46.698049547,3.49197907,58
58260,La Machine,46.891574846,3.462345119,58
58400,Mesves Sur Loire,47.230238077,3.00396493,58
58190,Metz Le Comte,47.393000619,3.63581637,58
58140,Mhere,47.194724629,3.860095553,58
58190,Moissy Moulinot,47.327325796,3.707138721,58
