latitude,longitude,id,nom,siret,siren,adresse,code_postal,code_ape,milieu_pollué,secteur_na38,produitLabel,dateCreation,departement_id,
,,3302145,SIVOM DU LOUHANNAIS (Cuisery),20007530700013,200075307,"Rue Des Bruyères - Zi Bois De Bernoux, #4179",71290,8411Z,,OZ Administration publique,,,71,
46.466816,5.24742,3302330,GAEC CHAVANOSSE,32860293300025,328602933,453 Route De La Baisse,71480,0146Z,Air,"AZ Agriculture, sylviculture et pêche",,,71,
,,3302542,REMUET TP SAS,40646747900021,406467479,"Lieu Dit Les Varennes, #4189",71960,4312A,,FZ Construction,,,71,
,,3302611,MERLOT TP,32341696600022,323416966,Les Carrières,58400,4312A,,FZ Construction,,,58,
,,3302614,STPI (ISDI),33280334500039,332803345,La Grande Baisse Et Petit Monfeux,70290,4221Z,,FZ Construction,,,70,
,,3302985,THIVENT,79682017300014,796820173,"Rd 79, Lieu-dit Mont Brancher",71800,4211Z,,FZ Construction,,,71,
,,3303044,EUROVIA BFC (ex SOCIETE PAUL ROSA ET FILS),1705022000015,17050220,Lieu Dit Les Boichots,21150,4211Z,,FZ Construction,,,21,
,,3700004,BEZERRA SARL,39602009100023,396020091,Lieux-dits A Maurens Et A Bajol,32330,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,32,
,,3700020,SYDED DU LOT,25460139600016,254601396,Pech De La Ligue - Parcelle N° 595 Section A,46330,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3700021,SYDED DU LOT,25460139600016,254601396,"Pech Boudie, Parcelles 55 Et 56 - Section Ac",46120,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3700022,SYDED DU LOT,25460139600016,254601396,La Coupille,46320,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3700023,SYDED DU LOT,25460139600016,254601396,Saint-marc,46140,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3700083,SARL ROUQUETTE TRAVAUX PUBLICS,34384879200028,343848792,"Lieu-dit La Cote D'agnac, Bk N° 140 À 143 - 144 P - 398 Et 699 (4ha 14a 53ca)",12300,4312A,,FZ Construction,,,12,
,,3700093,SUEZ RV SUD OUEST,70198020300510,701980203,"Lieu-dit La Barraque 7 Rue François Arago, Zac De La Ménude",31830,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,31,
,,3700143,ECOPOLE DE LAMBERT,80782657300014,807826573,"Lieu Dit Lambert, Route De Perpignan",11100,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,11,
,,3700172,SURFATECH,44101440400038,441014404,"155 Avenue Des Bigos, Bp 50066",34740,2561Z,,CH Métallurgie et fabrication de produits métalliques,,,34,
,,3700570,SAS DUO SUD,39346221300041,393462213,"Route De L'aéroport - Zac Du Causse, Section A N° 660p Et 662p",81290,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,81,
,,3700628,GILLIS TS,53239700700032,532397007,33 Route De Toulouse,82170,2562B,,CH Métallurgie et fabrication de produits métalliques,,,82,
,,3700685,AUDEVAL SA,82044576500010,820445765,1075 Boulevard François-xavier Fafeur  - Salvaza,11000,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,11,
,,3700732,STRATAGEM,34020520200021,340205202,Za Des Calsades,12340,3102Z,,CM Industrie du meuble et diverses , réparation et installation de machines,,,12
43.62048,1.34364,3700735,DAHER AEROSPACE,42091691800048,420916918,"155 Route De Colomiers, Zone Barquil",31700,3030Z,,CL Fabrication de matériels de transport,,,31,
,,3700769,CAZENAVE PIECES AUTO,48746936300013,487469363,23 Che De La Nasque,31770,4519Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,31,
,,3700770,SECHE ECO SERVICES,39330705300032,393307053,"Boulevard Du Grand Castaing, Site Cemex",31120,4312A,,FZ Construction,,,31,
,,3700825,SARL CASS AUTO VG,53436249600026,534362496,"Route De Villefranche, (site De L'ancienne Usine De Talabot), Section Am N° 24",81160,4532Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,81,
,,3700930,LATECOERE,57205016900026,572050169,4 Impasse De Montredon,31200,3030Z,,CL Fabrication de matériels de transport,,,31,
,,3700947,CHIMIREC SOCODELI,38336924600046,383369246,5 Rue Aristide Berges,31600,3812Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,31,
,,3701011,ISDI Dragages Garonnais (Coume Castagne),54578016500019,545780165,Lieu-dit Coume Castagne,31800,7010Z,,"MA Activités juridiques, de conseil et d'ingénierie",,,31,
,,3701153,DS Recyclage,37801121700031,378011217,Za Du Moulin D'enfour,9600,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,9,
,,3701190,AUDEVAL SA,82044576500010,820445765,Lieu-dit  Dominique,11170,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,11,
,,3701359,SARPI Mineral France (ex Suez RR IWS),43331348300060,433313483,Route De St Gilles - Piechegu,30127,3822Z,Air,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,30,
,,3701480,SAS SEVIGNE INDUSTRIES,42114895800034,421148958,"La Reveyrette, Section Bi N° 50pp Et 434pp (2ha 98a 03ca)",12850,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,12,
,,3701510,SYDED DU LOT,45337299700016,453372997,"Les Matalines - Section C - Parcelles N° 1221, 1224, 1226, 1256, Cazals - Section A - Parcelles N° 1516, 1538, 1542, 1544, 1549",46150,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3701634,IRRIJARDIN,32556783200069,325567832,Route De Toulouse,31410,4752B,,"GZ Commerce, réparation d'automobiles et de motocycles",,,31,
,,3701774,K&M AUTO,90280333700028,902803337,14 Rue De Seveso,31150,4532Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,31,
,,3701973,Société Poux,47892165300026,478921653,"2 Voie Hélios, Zi Lavigne",31190,4532Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,31,
,,3702115,SAS HAUT SEGALA BIOENERGIE,83140749900019,831407499,Ballac,46210,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3702116,S A S SUD SEGALA BIOENERGIE,83140217700016,831402177,Le Camp Grand,46120,3821Z,Sol,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3702117,S A S LIMARGUE BIOENERGIE,83138022500019,831380225,Bois Grand,46120,3821Z,Sol,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,46,
,,3702128,SURPLUS INDUSTRIES,83434955700019,834349557,"Avenue Gustave Eiffel, Zir Du Mas De Rest (section Mh - N° 75-84-86-87-88)",81600,4677Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,81,
,,3702155,VALTERRA MATIERES ORGANIQUES SAS,38111410700174,381114107,Perricaud,11400,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,11,
